,code,nameTh,nameEn,cc,aa,tt
0,10000000,กรุงเทพมหานคร,Bangkok,10,00,00
1,10010000,เขตพระนคร,Phra Nakhon,10,01,00
2,10010100,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,10,01,01
3,10010200,วังบูรพาภิรมย์,Wang Burapha Phirom,10,01,02
4,10010300,วัดราชบพิธ,Wat Ratchabophit,10,01,03
5,10010400,สำราญราษฎร์,Samran Rat,10,01,04
6,10010500,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,10,01,05
7,10010600,เสาชิงช้า,Sao Chingcha,10,01,06
8,10010700,บวรนิเวศ,Bowon Niwet,10,01,07
9,10010800,ตลาดยอด,Talat Yot,10,01,08
10,10010900,ชนะสงคราม,Chana Songkhram,10,01,09
11,10011000,บ้านพานถม,Ban Phan Thom,10,01,10
12,10011100,บางขุนพรหม,Bang Khun Phrom,10,01,11
13,10011200,วัดสามพระยา,Wat Sam Phraya,10,01,12
14,10020000,เขตดุสิต,Dusit,10,02,00
15,10020100,ดุสิต,Dusit,10,02,01
16,10020200,วชิรพยาบาล,Wachira Phayaban,10,02,02
17,10020300,สวนจิตรลดา,Suan Chitlada,10,02,03
18,10020400,สี่แยกมหานาค,Si Yaek Mahanak,10,02,04
20,10020600,ถนนนครไชยศรี,Thanon Nakhon Chai Si,10,02,06
22,10030000,เขตหนองจอก,Nong Chok,10,03,00
23,10030100,กระทุ่มราย,Krathum Rai,10,03,01
24,10030200,หนองจอก,Nong Chok,10,03,02
25,10030300,คลองสิบ,Khlong Sip,10,03,03
26,10030400,คลองสิบสอง,Khlong Sip Song,10,03,04
27,10030500,โคกแฝด,Khok Faet,10,03,05
28,10030600,คู้ฝั่งเหนือ,Khu Fang Nuea,10,03,06
29,10030700,ลำผักชี,Lam Phak Chi,10,03,07
30,10030800,ลำต้อยติ่ง,Lam Toiting,10,03,08
31,10040000,เขตบางรัก,Bang Rak,10,04,00
32,10040100,มหาพฤฒาราม,Maha Phruettharam,10,04,01
33,10040200,สีลม,Si Lom,10,04,02
34,10040300,สุริยวงศ์,Suriyawong,10,04,03
35,10040400,บางรัก,Bang Rak,10,04,04
36,10040500,สี่พระยา,Si Phraya,10,04,05
37,10050000,เขตบางเขน,Bang Khen,10,05,00
39,10050200,อนุสาวรีย์,Anusawari,10,05,02
45,10050800,ท่าแร้ง,Tha Raeng,10,05,08
48,10060000,เขตบางกะปิ,Bang Kapi,10,06,00
49,10060100,คลองจั่น,Khlong Chan,10,06,01
56,10060800,หัวหมาก,Hua Mak,10,06,08
57,10070000,เขตปทุมวัน,Pathum Wan,10,07,00
58,10070100,รองเมือง,Rong Mueang,10,07,01
59,10070200,วังใหม่,Wang Mai,10,07,02
60,10070300,ปทุมวัน,Pathum Wan,10,07,03
61,10070400,ลุมพินี,Lumphini,10,07,04
62,10080000,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,10,08,00
63,10080100,ป้อมปราบ,Pom Prap,10,08,01
64,10080200,วัดเทพศิรินทร์,Wat Thep Sirin,10,08,02
65,10080300,คลองมหานาค,Khlong Maha Nak,10,08,03
66,10080400,บ้านบาตร,Ban Bat,10,08,04
67,10080500,วัดโสมนัส,Wat Sommanat,10,08,05
69,10090000,เขตพระโขนง,Phra Khanong,10,09,00
74,10090500,บางจาก,Bang Chak,10,09,05
79,10091000,พระโขนงใต้,Phra Khanong Tai,10,09,10
83,10100000,เขตมีนบุรี,Min Buri,10,10,00
84,10100100,มีนบุรี,Min Buri,10,10,01
85,10100200,แสนแสบ,Saen Saep,10,10,02
91,10110000,เขตลาดกระบัง,Lat Krabang,10,11,00
92,10110100,ลาดกระบัง,Lat Krabang,10,11,01
93,10110200,คลองสองต้นนุ่น,Khlong Song Ton Nun,10,11,02
94,10110300,คลองสามประเวศ,Khlong Sam Prawet,10,11,03
95,10110400,ลำปลาทิว,Lam Pla Thio,10,11,04
96,10110500,ทับยาว,Thap Yao,10,11,05
97,10110600,ขุมทอง,Khum Thong,10,11,06
98,10120000,เขตยานนาวา,Yan Nawa,10,12,00
101,10120300,ช่องนนทรี,Chong Nonsi,10,12,03
102,10120400,บางโพงพาง,Bang Phongphang,10,12,04
109,10130000,เขตสัมพันธวงศ์,Samphanthawong,10,13,00
110,10130100,จักรวรรดิ,Chakkrawat,10,13,01
111,10130200,สัมพันธวงศ์,Samphanthawong,10,13,02
112,10130300,ตลาดน้อย,Talat Noi,10,13,03
113,10140000,เขตพญาไท,Phaya Thai,10,14,00
114,10140100,สามเสนใน,Sam Sen Nai,10,14,01
119,10140600,พญาไท,Phaya Thai,10,14,06
121,10150000,เขตธนบุรี,Thon Buri,10,15,00
122,10150100,วัดกัลยาณ์,Wat Kanlaya,10,15,01
123,10150200,หิรัญรูจี,Hiran Ruchi,10,15,02
124,10150300,บางยี่เรือ,Bang Yi Ruea,10,15,03
125,10150400,บุคคโล,Bukkhalo,10,15,04
126,10150500,ตลาดพลู,Talat Phlu,10,15,05
127,10150600,ดาวคะนอง,Dao Khanong,10,15,06
128,10150700,สำเหร่,Samre,10,15,07
130,10160000,เขตบางกอกใหญ่,Bangkok Yai,10,16,00
131,10160100,วัดอรุณ,Wat Arun,10,16,01
132,10160200,วัดท่าพระ,Wat Tha Phra,10,16,02
133,10170000,เขตห้วยขวาง,Huai Khwang,10,17,00
134,10170100,ห้วยขวาง,Huai Khwang,10,17,01
135,10170200,บางกะปิ,Bang Kapi,10,17,02
137,10170400,สามเสนนอก,Sam Sen Nok,10,17,04
138,10180000,เขตคลองสาน,Khlong San,10,18,00
139,10180100,สมเด็จเจ้าพระยา,Somdet Chao Phraya,10,18,01
140,10180200,คลองสาน,Khlong San,10,18,02
141,10180300,บางลำภูล่าง,Bang Lamphu Lang,10,18,03
142,10180400,คลองต้นไทร,Khlong Ton Sai,10,18,04
143,10190000,เขตตลิ่งชัน,Taling Chan,10,19,00
144,10190100,คลองชักพระ,Khlong Chak Phra,10,19,01
