geo_id,geo_code,name_en,name_th,abbreviation,type_id
2425,10010100,Phra Borom Maha Ratchawang,พระบรมมหาราชวัง,10010100,12
2426,10010200,Wang Burapha Phirom,วังบูรพาภิรมย์,10010200,12
2427,10010300,Wat Ratchabophit,วัดราชบพิธ,10010300,12
2428,10010400,Samran Rat,สำราญราษฎร์,10010400,12
2429,10010500,San Chao Pho Suea,ศาลเจ้าพ่อเสือ,10010500,12
2430,10010600,Sao Chingcha,เสาชิงช้า,10010600,12
2431,10010700,Bowon Niwet,บวรนิเวศ,10010700,12
2432,10010800,Talat Yot,ตลาดยอด,10010800,12
2433,10010900,Chana Songkhram,ชนะสงคราม,10010900,12
2434,10011000,Ban Phan Thom,บ้านพานถม,10011000,12
2435,10011100,Bang Khun Phrom,บางขุนพรหม,10011100,12
2436,10011200,Wat Sam Phraya,วัดสามพระยา,10011200,12
2437,10020100,Dusit,ดุสิต,10020100,12
2438,10020200,Wachira Phayaban,วชิรพยาบาล,10020200,12
2439,10020300,Suan Chitlada,สวนจิตรลดา,10020300,12
2440,10020400,Si Yaek Mahanak,สี่แยกมหานาค,10020400,12
2441,10020600,Thanon Nakhon Chai Si,ถนนนครไชยศรี,10020600,12
2442,10030100,Krathum Rai,กระทุ่มราย,10030100,12
2443,10030200,Nong Chok,หนองจอก,10030200,12
2444,10030300,Khlong Sip,คลองสิบ,10030300,12
2445,10030400,Khlong Sip Song,คลองสิบสอง,10030400,12
2446,10030500,Khok Faet,โคกแฝด,10030500,12
2447,10030600,Khu Fang Nuea,คู้ฝั่งเหนือ,10030600,12
2448,10030700,Lam Phak Chi,ลำผักชี,10030700,12
2449,10030800,Lam Toiting,ลำต้อยติ่ง,10030800,12
2450,10040100,Maha Phruettharam,มหาพฤฒาราม,10040100,12
2451,10040200,Si Lom,สีลม,10040200,12
2452,10040300,Suriyawong,สุริยวงศ์,10040300,12
2453,10040400,Bang Rak,บางรัก,10040400,12
2454,10040500,Si Phraya,สี่พระยา,10040500,12
2455,10050200,Anusawari,อนุสาวรีย์,10050200,12
2456,10050800,Tha Raeng,ท่าแร้ง,10050800,12
2457,10060100,Khlong Chan,คลองจั่น,10060100,12
2458,10060800,Hua Mak,หัวหมาก,10060800,12
2459,10070100,Rong Mueang,รองเมือง,10070100,12
2460,10070200,Wang Mai,วังใหม่,10070200,12
2461,10070300,Pathum Wan,ปทุมวัน,10070300,12
2462,10070400,Lumphini,ลุมพินี,10070400,12
2463,10080100,Pom Prap,ป้อมปราบ,10080100,12
2464,10080200,Wat Thep Sirin,วัดเทพศิรินทร์,10080200,12
2465,10080300,Khlong Maha Nak,คลองมหานาค,10080300,12
2466,10080400,Ban Bat,บ้านบาตร,10080400,12
2467,10080500,Wat Sommanat,วัดโสมนัส,10080500,12
2468,10090500,Bang Chak,บางจาก,10090500,12
2469,10091000,Phra Khanong Tai,พระโขนงใต้,10091000,12
2470,10100100,Min Buri,มีนบุรี,10100100,12
2471,10100200,Saen Saep,แสนแสบ,10100200,12
2472,10110100,Lat Krabang,ลาดกระบัง,10110100,12
2473,10110200,Khlong Song Ton Nun,คลองสองต้นนุ่น,10110200,12
2474,10110300,Khlong Sam Prawet,คลองสามประเวศ,10110300,12
2475,10110400,Lam Pla Thio,ลำปลาทิว,10110400,12
2476,10110500,Thap Yao,ทับยาว,10110500,12
2477,10110600,Khum Thong,ขุมทอง,10110600,12
2478,10120300,Chong Nonsi,ช่องนนทรี,10120300,12
2479,10120400,Bang Phongphang,บางโพงพาง,10120400,12
2480,10130100,Chakkrawat,จักรวรรดิ,10130100,12
2481,10130200,Samphanthawong,สัมพันธวงศ์,10130200,12
2482,10130300,Talat Noi,ตลาดน้อย,10130300,12
2483,10140100,Sam Sen Nai,สามเสนใน,10140100,12
2484,10140600,Phaya Thai,พญาไท,10140600,12
2485,10150100,Wat Kanlaya,วัดกัลยาณ์,10150100,12
2486,10150200,Hiran Ruchi,หิรัญรูจี,10150200,12
2487,10150300,Bang Yi Ruea,บางยี่เรือ,10150300,12
2488,10150400,Bukkhalo,บุคคโล,10150400,12
2489,10150500,Talat Phlu,ตลาดพลู,10150500,12
2490,10150600,Dao Khanong,ดาวคะนอง,10150600,12
2491,10150700,Samre,สำเหร่,10150700,12
2492,10160100,Wat Arun,วัดอรุณ,10160100,12
2493,10160200,Wat Tha Phra,วัดท่าพระ,10160200,12
2494,10170100,Huai Khwang,ห้วยขวาง,10170100,12
2495,10170200,Bang Kapi,บางกะปิ,10170200,12
2496,10170400,Sam Sen Nok,สามเสนนอก,10170400,12
2497,10180100,Somdet Chao Phraya,สมเด็จเจ้าพระยา,10180100,12
2498,10180200,Khlong San,คลองสาน,10180200,12
2499,10180300,Bang Lamphu Lang,บางลำภูล่าง,10180300,12
2500,10180400,Khlong Ton Sai,คลองต้นไทร,10180400,12
2501,10190100,Khlong Chak Phra,คลองชักพระ,10190100,12
2502,10190200,Taling Chan,ตลิ่งชัน,10190200,12
2503,10190300,Chimphli,ฉิมพลี,10190300,12
2504,10190400,Bang Phrom,บางพรม,10190400,12
2505,10190500,Bang Ramat,บางระมาด,10190500,12
2506,10190700,Bang Chueak Nang,บางเชือกหนัง,10190700,12
2507,10200400,Sirirat,ศิริราช,10200400,12
2508,10200500,Ban Chang Lo,บ้านช่างหล่อ,10200500,12
2509,10200600,Bang Khun Non,บางขุนนนท์,10200600,12
2510,10200700,Bang Khun Si,บางขุนศรี,10200700,12
2511,10200900,Arun Ammarin,อรุณอมรินทร์,10200900,12
2512,10210500,Tha Kham,ท่าข้าม,10210500,12
2513,10210700,Samae Dam,แสมดำ,10210700,12
2514,10220100,Bang Wa,บางหว้า,10220100,12
2515,10220200,Bang Duan,บางด้วน,10220200,12
2516,10220600,Bang Chak,บางจาก,10220600,12
2517,10220700,Bang Waek,บางแวก,10220700,12
2518,10220800,Khlong Khwang,คลองขวาง,10220800,12
2519,10220900,Pak Khlong Phasi Charoen,ปากคลองภาษีเจริญ,10220900,12
