,geo_id,geo_code,name,abbreviation,type_id
0,256,postal-10200,พระนคร,10200,6
1,257,postal-10300,ดุสิต,10300,6
2,258,postal-10530,หนองจอก,10530,6
3,259,postal-10500,บางรัก,10500,6
4,260,postal-10220,บางเขน,10220,6
5,261,postal-10240,บางกะปิ,10240,6
6,262,postal-10330,ปทุมวัน,10330,6
7,263,postal-10100,ป้อมปราบศัตรูพ่าย,10100,6
8,264,postal-10260,พระโขนง,10260,6
9,265,postal-10510,มีนบุรี,10510,6
10,266,postal-10520,ลาดกระบัง,10520,6
11,267,postal-10120,ยานนาวา,10120,6
12,268,postal-10100,สัมพันธวงศ์,10100,6
13,269,postal-10400,พญาไท,10400,6
14,270,postal-10600,ธนบุรี,10600,6
15,271,postal-10600,บางกอกใหญ่,10600,6
16,272,postal-10310,ห้วยขวาง,10310,6
17,273,postal-10600,คลองสาน,10600,6
18,274,postal-10170,ตลิ่งชัน,10170,6
19,275,postal-10700,บางกอกน้อย,10700,6
20,276,postal-10150,บางขุนเทียน,10150,6
21,277,postal-10160,ภาษีเจริญ,10160,6
22,278,postal-10160,หนองแขม,10160,6
23,279,postal-10140,ราษฎร์บูรณะ,10140,6
24,280,postal-10700,บางพลัด,10700,6
25,281,postal-10400,ดินแดง,10400,6
26,282,postal-10240,บึงกุ่ม,10240,6
27,283,postal-10120,สาทร,10120,6
28,284,postal-10800,บางซื่อ,10800,6
29,285,postal-10900,จตุจักร,10900,6
30,286,postal-10120,บางคอแหลม,10120,6
31,287,postal-10250,ประเวศ,10250,6
32,288,postal-10110,คลองเตย,10110,6
33,289,postal-10250,สวนหลวง,10250,6
34,290,postal-10150,จอมทอง,10150,6
35,291,postal-10210,ดอนเมือง,10210,6
36,292,postal-10400,ราชเทวี,10400,6
37,293,postal-10230,ลาดพร้าว,10230,6
38,294,postal-10110,วัฒนา,10110,6
39,295,postal-10160,บางแค,10160,6
40,296,postal-10210,หลักสี่,10210,6
41,297,postal-10220,สายไหม,10220,6
42,298,postal-10230,คันนายาว,10230,6
43,299,postal-10240,สะพานสูง,10240,6
44,300,postal-10310,วังทองหลาง,10310,6
45,301,postal-10510,คลองสามวา,10510,6
46,302,postal-10260,บางนา,10260,6
47,303,postal-10170,ทวีวัฒนา,10170,6
48,304,postal-10140,ทุ่งครุ,10140,6
49,305,postal-10150,บางบอน,10150,6
50,306,postal-10270,เมืองสมุทรปราการ,10270,6
