geo_id,geo_code,name,abbreviation,type_id
1419,state-TH-10000000,กรุงเทพมหานคร,BKK,3
1420,state-TH-11000000,สมุทรปราการ,SPK,3
1421,state-TH-12000000,นนทบุรี,NBI,3
1422,state-TH-13000000,ปทุมธานี,PTE,3
1423,state-TH-14000000,พระนครศรีอยุธยา,AYA,3
1424,state-TH-15000000,อ่างทอง,ATG,3
1425,state-TH-16000000,ลพบุรี,LRI,3
1426,state-TH-17000000,สิงห์บุรี,SBR,3
1427,state-TH-18000000,ชัยนาท,CNT,3
1428,state-TH-19000000,สระบุรี,SRI,3
1429,state-TH-20000000,ชลบุรี,CBI,3
1430,state-TH-21000000,ระยอง,RYG,3
1431,state-TH-22000000,จันทบุรี,CTI,3
1432,state-TH-23000000,ตราด,TRT,3
1433,state-TH-24000000,ฉะเชิงเทรา,CCO,3
1434,state-TH-25000000,ปราจีนบุรี,PRI,3
1435,state-TH-26000000,นครนายก,NYK,3
1436,state-TH-27000000,สระแก้ว,SKW,3
1437,state-TH-30000000,นครราชสีมา,NMA,3
1438,state-TH-31000000,บุรีรัมย์,BRM,3
1439,state-TH-32000000,สุรินทร์,SRN,3
1440,state-TH-33000000,ศรีสะเกษ,SSK,3
1441,state-TH-34000000,อุบลราชธานี,UBN,3
1442,state-TH-35000000,ยโสธร,YST,3
1443,state-TH-36000000,ชัยภูมิ,CPM,3
1444,state-TH-37000000,อำนาจเจริญ,ACR,3
1445,state-TH-38000000,บึงกาฬ,BKN,3
1446,state-TH-39000000,หนองบัวลำภู,NBP,3
1447,state-TH-40000000,ขอนแก่น,KKN,3
1448,state-TH-41000000,อุดรธานี,UDN,3
1449,state-TH-42000000,เลย,LEI,3
1450,state-TH-43000000,หนองคาย,NKI,3
1451,state-TH-44000000,มหาสารคาม,MKM,3
1452,state-TH-45000000,ร้อยเอ็ด,RET,3
1453,state-TH-46000000,กาฬสินธุ์,KSN,3
1454,state-TH-47000000,สกลนคร,SNK,3
1455,state-TH-48000000,นครพนม,NPM,3
1456,state-TH-49000000,มุกดาหาร,MDH,3
1457,state-TH-50000000,เชียงใหม่,CMI,3
1458,state-TH-51000000,ลำพูน,LPN,3
1459,state-TH-52000000,ลำปาง,LPG,3
1460,state-TH-53000000,อุตรดิตถ์,UTT,3
1461,state-TH-54000000,แพร่,PRE,3
1462,state-TH-55000000,น่าน,NAN,3
1463,state-TH-56000000,พะเยา,PYO,3
1464,state-TH-57000000,เชียงราย,CRI,3
1465,state-TH-58000000,แม่ฮ่องสอน,MSN,3
1466,state-TH-60000000,นครสวรรค์,NSN,3
1467,state-TH-61000000,อุทัยธานี,UTI,3
1468,state-TH-62000000,กำแพงเพชร,KPT,3
1469,state-TH-63000000,ตาก,TAK,3
1470,state-TH-64000000,สุโขทัย,STI,3
1471,state-TH-65000000,พิษณุโลก,PLK,3
1472,state-TH-66000000,พิจิตร,PCT,3
1473,state-TH-67000000,เพชรบูรณ์,PNB,3
1474,state-TH-70000000,ราชบุรี,RBR,3
1475,state-TH-71000000,กาญจนบุรี,KRI,3
1476,state-TH-72000000,สุพรรณบุรี,SPB,3
1477,state-TH-73000000,นครปฐม,NPT,3
1478,state-TH-74000000,สมุทรสาคร,SKN,3
1479,state-TH-75000000,สมุทรสงคราม,SKM,3
1480,state-TH-76000000,เพชรบุรี,PBI,3
1481,state-TH-77000000,ประจวบคีรีขันธ์,PKN,3
1482,state-TH-80000000,นครศรีธรรมราช,NST,3
1483,state-TH-81000000,กระบี่,KBI,3
1484,state-TH-82000000,พังงา,PNA,3
1485,state-TH-83000000,ภูเก็ต,PKT,3
1486,state-TH-84000000,สุราษฎร์ธานี,SNI,3
1487,state-TH-85000000,ระนอง,RNG,3
1488,state-TH-86000000,ชุมพร,CPN,3
1489,state-TH-90000000,สงขลา,SKA,3
1490,state-TH-91000000,สตูล,STN,3
1491,state-TH-92000000,ตรัง,TRG,3
1492,state-TH-93000000,พัทลุง,PLG,3
1493,state-TH-94000000,ปัตตานี,PTN,3
1494,state-TH-95000000,ยะลา,YLA,3
1495,state-TH-96000000,นราธิวาส,NWT,3
