ทำเนียบท้องที่,Unnamed: 1,Unnamed: 2,Unnamed: 3
รหัสจังหวัด 2 หลัก // อำเภอ 2 หลัก // ตำบล 2 หลัก,,,
ข้อมูล ณ วันที่ 1 กันยายน 2566,,,
,,,
รหัสจังหวัด 2 หลัก//อำเภอ 4 หลัก//ตำบล 6 หลัก,จังหวัด/อำเภอ/ตำบล ภาษาไทย,จังหวัด/อำเภอ/ตำบล ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
10000000,กรุงเทพมหานคร,Bangkok,0
10010000,เขตพระนคร,Phra Nakhon,0
10010100,พระบรมมหาราชวัง,Phra Borom Maha Ratchawang,0
10010200,วังบูรพาภิรมย์,Wang Burapha Phirom,0
10010300,วัดราชบพิธ,Wat Ratchabophit,0
10010400,สำราญราษฎร์,Samran Rat,0
10010500,ศาลเจ้าพ่อเสือ,San Chao Pho Suea,0
10010600,เสาชิงช้า,Sao Chingcha,0
10010700,บวรนิเวศ,Bowon Niwet,0
10010800,ตลาดยอด,Talat Yot,0
10010900,ชนะสงคราม,Chana Songkhram,0
10011000,บ้านพานถม,Ban Phan Thom,0
10011100,บางขุนพรหม,Bang Khun Phrom,0
10011200,วัดสามพระยา,Wat Sam Phraya,0
10020000,เขตดุสิต,Dusit,0
10020100,ดุสิต,Dusit,0
10020200,วชิรพยาบาล,Wachira Phayaban,0
10020300,สวนจิตรลดา,Suan Chitlada,0
10020400,สี่แยกมหานาค,Si Yaek Mahanak,0
10020500,บางซื่อ*,Bang Sue,25490101
10020600,ถนนนครไชยศรี,Thanon Nakhon Chai Si,0
10029900,สามเสนใน*,Sam Sen Nai,25490101
10030000,เขตหนองจอก,Nong Chok,0
10030100,กระทุ่มราย,Krathum Rai,0
10030200,หนองจอก,Nong Chok,0
10030300,คลองสิบ,Khlong Sip,0
10030400,คลองสิบสอง,Khlong Sip Song,0
10030500,โคกแฝด,Khok Faet,0
10030600,คู้ฝั่งเหนือ,Khu Fang Nuea,0
10030700,ลำผักชี,Lam Phak Chi,0
10030800,ลำต้อยติ่ง,Lam Toiting,0
10040000,เขตบางรัก,Bang Rak,0
10040100,มหาพฤฒาราม,Maha Phruettharam,0
10040200,สีลม,Si Lom,0
10040300,สุริยวงศ์,Suriyawong,0
10040400,บางรัก,Bang Rak,0
10040500,สี่พระยา,Si Phraya,0
10050000,เขตบางเขน,Bang Khen,0
10050100,ลาดยาว*,Lat Yao,25490101
10050200,อนุสาวรีย์,Anusawari,0
10050300,คลองถนน*,Khlong Thanon,25490101
10050400,ตลาดบางเขน*,Talat Bang Khen,25490101
10050500,สีกัน*,Si Kan,25490101
10050600,สายไหม*,Sai Mai,25490101
10050700,ทุ่งสองห้อง*,Thung Song Hong,25490101
10050800,ท่าแร้ง,Tha Raeng,0
10050900,ออเงิน*,O Ngoen,25490101
10059900,บางเขน*,Bang Khen,25550419
10060000,เขตบางกะปิ,Bang Kapi,0
10060100,คลองจั่น,Khlong Chan,0
10060200,วังทองหลาง*,Wang Thonglang,25490101
10060300,ลาดพร้าว*,Lat Phrao,25490101
10060400,คลองกุ่ม*,Khlong Kum,25490101
10060500,สะพานสูง*,Saphan Sung,25490101
10060600,คันนายาว*,Khan Na Yao,25490101
10060700,จรเข้บัว*,Chorakhe Bua,25490101
10060800,หัวหมาก,Hua Mak,0
10070000,เขตปทุมวัน,Pathum Wan,0
10070100,รองเมือง,Rong Mueang,0
10070200,วังใหม่,Wang Mai,0
10070300,ปทุมวัน,Pathum Wan,0
10070400,ลุมพินี,Lumphini,0
10080000,เขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai,0
10080100,ป้อมปราบ,Pom Prap,0
10080200,วัดเทพศิรินทร์,Wat Thep Sirin,0
10080300,คลองมหานาค,Khlong Maha Nak,0
10080400,บ้านบาตร,Ban Bat,0
10080500,วัดโสมนัส,Wat Sommanat,0
10089900,นางเลิ้ง*,Nang Loeng,25550419
10090000,เขตพระโขนง,Phra Khanong,0
10090100,คลองเตย*,Khlong Toei,25490101
10090200,คลองตัน*,Khlong Tan,25490101
10090300,พระโขนง*,Phra Khanong,25490101
10090400,บางนา*,Bang Na,25490101
10090500,บางจาก,Bang Chak,0
10090600,สวนหลวง*,Suan Luang,25490101
10090700,หนองบอน*,Nong Bon,25490101
10090800,ประเวศ*,Prawet,25490101
10090900,ดอกไม้*,Dok Mai,25490101
10091000,พระโขนงใต้,Phra Khanong Tai,0
10099700,พระโขนง*,Phra Khanong,25550419
10099800,คลองตัน*,Khlong Tan,25550419
10099900,คลองเตย*,Khlong Toei,25490101
10100000,เขตมีนบุรี,Min Buri,0
10100100,มีนบุรี,Min Buri,0
10100200,แสนแสบ,Saen Saep,0
10100300,บางชัน*,Bang Chan,25490101
10100400,ทรายกองดิน*,Sai Kong Din,25490101
10100500,ทรายกองดินใต้*,Sai Kong Din Tai,25490101
10100600,สามวาตะวันออก*,Sam Wa Tawan Ok,25490101
10100700,สามวาตะวันตก*,Sam Wa Tawan Tok,25490101
10110000,เขตลาดกระบัง,Lat Krabang,0
10110100,ลาดกระบัง,Lat Krabang,0
10110200,คลองสองต้นนุ่น,Khlong Song Ton Nun,0
10110300,คลองสามประเวศ,Khlong Sam Prawet,0
10110400,ลำปลาทิว,Lam Pla Thio,0
10110500,ทับยาว,Thap Yao,0
10110600,ขุมทอง,Khum Thong,0
10120000,เขตยานนาวา,Yan Nawa,0
10120100,ทุ่งวัดดอน*,Thung Wat Don,25490101
10120200,ยานนาวา*,Yan Nawa,25490101
10120300,ช่องนนทรี,Chong Nonsi,0
10120400,บางโพงพาง,Bang Phongphang,0
10120500,วัดพระยาไกร*,Wat Phraya Krai,25490101
10120600,บางโคล่*,Bang Khlo,25490101
10120700,บางคอแหลม*,Bang Kho Laem,25490101
10120800,ทุ่งมหาเมฆ*,Thung Maha Mek,25490101
10129800,บางโคล่*,Bang Khlo,25490101
10129900,บางคอแหลม*,Bang Kho Laem,25490101
10130000,เขตสัมพันธวงศ์,Samphanthawong,0
10130100,จักรวรรดิ,Chakkrawat,0
10130200,สัมพันธวงศ์,Samphanthawong,0
10130300,ตลาดน้อย,Talat Noi,0
10140000,เขตพญาไท,Phaya Thai,0
10140100,สามเสนใน,Sam Sen Nai,0
10140200,ถนนเพชรบุรี*,Thanon Phetchaburi,25490101
10140300,ทุ่งพญาไท*,Thung Phaya Thai,25490101
10140400,มักกะสัน*,Makkasan,25490101
10140500,ถนนพญาไท*,Thanon Phaya Thai,25490101
10140600,พญาไท,Phaya Thai,0
10149900,ทุ่งพญาไท*,Thung Phaya Thai,25490101
10150000,เขตธนบุรี,Thon Buri,0
10150100,วัดกัลยาณ์,Wat Kanlaya,0
10150200,หิรัญรูจี,Hiran Ruchi,0
10150300,บางยี่เรือ,Bang Yi Ruea,0
10150400,บุคคโล,Bukkhalo,0
10150500,ตลาดพลู,Talat Phlu,0
10150600,ดาวคะนอง,Dao Khanong,0
10150700,สำเหร่,Samre,0
10159900,คลองสาน*,Khlong San,25490101
10160000,เขตบางกอกใหญ่,Bangkok Yai,0
10160100,วัดอรุณ,Wat Arun,0
10160200,วัดท่าพระ,Wat Tha Phra,0
10170000,เขตห้วยขวาง,Huai Khwang,0
10170100,ห้วยขวาง,Huai Khwang,0
10170200,บางกะปิ,Bang Kapi,0
10170300,ดินแดง*,Din Daeng,25490101
10170400,สามเสนนอก,Sam Sen Nok,0
10180000,เขตคลองสาน,Khlong San,0
10180100,สมเด็จเจ้าพระยา,Somdet Chao Phraya,0
10180200,คลองสาน,Khlong San,0
10180300,บางลำภูล่าง,Bang Lamphu Lang,0
10180400,คลองต้นไทร,Khlong Ton Sai,0
10190000,เขตตลิ่งชัน,Taling Chan,0
10190100,คลองชักพระ,Khlong Chak Phra,0
