รหัสสำนักทะเบียน/อำเภอ,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาไทย,จังหวัด/สำนักทะเบียน/อำเภอ ภาษาอังกฤษ,ปีเดือนวันที่จำหน่าย
1000,กรุงเทพมหานคร,Bangkok,0
1001,ท้องถิ่นเขตพระนคร,Phra Nakhon District,0
1002,ท้องถิ่นเขตดุสิต,Dusit District,0
1003,ท้องถิ่นเขตหนองจอก,Nong Chok District,0
1004,ท้องถิ่นเขตบางรัก,Bang Rak District,0
1005,ท้องถิ่นเขตบางเขน,Bang Khen District,0
1006,ท้องถิ่นเขตบางกะปิ,Bang Kapi District,0
1007,ท้องถิ่นเขตปทุมวัน,Pathum Wan District,0
1008,ท้องถิ่นเขตป้อมปราบศัตรูพ่าย,Pom Prap Sattru Phai District,0
1009,ท้องถิ่นเขตพระโขนง,Phra Khanong District,0
1010,ท้องถิ่นเขตมีนบุรี,Min Buri District,0
1011,ท้องถิ่นเขตลาดกระบัง,Lat Krabang District,0
1012,ท้องถิ่นเขตยานนาวา,Yan Nawa District,0
1013,ท้องถิ่นเขตสัมพันธวงศ์,Samphanthawong District,0
1014,ท้องถิ่นเขตพญาไท,Phaya Thai District,0
1015,ท้องถิ่นเขตธนบุรี,Thon Buri District,0
1016,ท้องถิ่นเขตบางกอกใหญ่,Bangkok Yai District,0
1017,ท้องถิ่นเขตห้วยขวาง,Huai Khwang District,0
1018,ท้องถิ่นเขตคลองสาน,Khlong San District,0
1019,ท้องถิ่นเขตตลิ่งชัน,Taling Chan District,0
1020,ท้องถิ่นเขตบางกอกน้อย,Bangkok Noi District,0
1021,ท้องถิ่นเขตบางขุนเทียน,Bang Khun Thian District,0
1022,ท้องถิ่นเขตภาษีเจริญ,Phasi Charoen District,0
1023,ท้องถิ่นเขตหนองแขม,Nong Khaem District,0
1024,ท้องถิ่นเขตราษฎร์บูรณะ,Rat Burana District,0
1025,ท้องถิ่นเขตบางพลัด,Bang Phlat District,0
1026,ท้องถิ่นเขตดินแดง,Din Daeng District,0
1027,ท้องถิ่นเขตบึงกุ่ม,Bueng Kum District,0
1028,ท้องถิ่นเขตสาทร,Sathon District,0
1029,ท้องถิ่นเขตบางซื่อ,Bang Sue District,0
1030,ท้องถิ่นเขตจตุจักร,Chatuchak District,0
1031,ท้องถิ่นเขตบางคอแหลม,Bang Kho Laem District,0
1032,ท้องถิ่นเขตประเวศ,Prawet District,0
1033,ท้องถิ่นเขตคลองเตย,Khlong Toei District,0
1034,ท้องถิ่นเขตสวนหลวง,Suan Luang District,0
1035,ท้องถิ่นเขตจอมทอง,Chom Thong District,0
1036,ท้องถิ่นเขตดอนเมือง,Don Mueang District,0
1037,ท้องถิ่นเขตราชเทวี,Ratchathewi District,0
1038,ท้องถิ่นเขตลาดพร้าว,Lat Phrao District,0
1039,ท้องถิ่นเขตวัฒนา,Vadhana District,0
1040,ท้องถิ่นเขตบางแค,Bang Khae District,0
1041,ท้องถิ่นเขตหลักสี่,Lak Si District,0
1042,ท้องถิ่นเขตสายไหม,Sai Mai District,0
1043,ท้องถิ่นเขตคันนายาว,Khan Na Yao District,0
1044,ท้องถิ่นเขตสะพานสูง,Saphan Sung District,0
1045,ท้องถิ่นเขตวังทองหลาง,Wang Thonglang District,0
1046,ท้องถิ่นเขตคลองสามวา,Khlong Sam Wa District,0
1047,ท้องถิ่นเขตบางนา,Bang Na District,0
1048,ท้องถิ่นเขตทวีวัฒนา,Thawi Watthana District,0
1049,ท้องถิ่นเขตทุ่งครุ,Thung Khru District,0
1050,ท้องถิ่นเขตบางบอน,Bang Bon District,0
1098,สำนักงานปกครองและทะเบียน,Administration and Registration Office,0
1099,สำนักทะเบียนกลาง,Central Registration Office,0
1100,จังหวัดสมุทรปราการ,Samut Prakan Province,0
1101,อำเภอเมืองสมุทรปราการ,Mueang Samut Prakan District,0
1102,อำเภอบางบ่อ,Bang Bo District,0
1103,อำเภอบางพลี,Bang Phli District,0
1104,อำเภอพระประแดง,Phra Pradaeng District,0
1105,อำเภอพระสมุทรเจดีย์,Phra Samut Chedi District,0
1106,อำเภอบางเสาธง,Bang Sao Thong District,0
1182,ท้องถิ่นเทศบาลเมืองบางแก้ว,Bang Kaeo Town Municipality,25660418
1183,ท้องถิ่นเทศบาลเมืองปากน้ำสมุทรปราการ,Paknam Samut Prakan Town Municipality,0
1184,ท้องถิ่นเทศบาลตำบลบางเสาธง,Bang Sao Thong Sub-district Municipality,0
1185,ท้องถิ่นเทศบาลตำบลแหลมฟ้าผ่า,Laem Fapha Sub-district Municipality,0
1186,ท้องถิ่นเทศบาลตำบลพระสมุทรเจดีย์,Phra Samut Chedi Sub-district Municipality,0
1187,ท้องถิ่นเทศบาลตำบลบางพลี,Bang Phli Sub-district Municipality,0
1188,ท้องถิ่นเทศบาลตำบลบางบ่อ,Bang Bo Sub-district Municipality,0
1189,ท้องถิ่นเทศบาลตำบลคลองสวน,Khlong Suan Sub-district Municipality,0
1190,ท้องถิ่นเทศบาลตำบลคลองด่าน,Khlong Dan Sub-district Municipality,0
1191,ท้องถิ่นเทศบาลตำบลบางปู,Bang Pu Sub-district Municipality,0
1192,ท้องถิ่นเทศบาลตำบลแพรกษา,Phraek Sa Sub-district Municipality,0
1193,ท้องถิ่นเทศบาลตำบลบางเมือง,Bang Mueang Sub-district Municipality,0
1194,ท้องถิ่นเทศบาลตำบลด่านสำโรง,Dan Samrong Sub-district Municipality,0
1195,ท้องถิ่นเทศบาลเมืองปู่เจ้าสมิงพราย,Puchaosamingphrai Town Municipality,0
1196,ท้องถิ่นเทศบาลตำบลสำโรงเหนือ,Samrong Nuea Sub-district Municipality,0
1197,ท้องถิ่นเทศบาลเมืองลัดหลวง,Lat Luang Town Municipality,0
1198,ท้องถิ่นเทศบาลเมืองพระประแดง,Phra Pradaeng Town Municipality,0
1199,ท้องถิ่นเทศบาลนครสมุทรปราการ,Samut Prakan City Municipality,0
1200,จังหวัดนนทบุรี,Nonthaburi Province,0
1201,อำเภอเมืองนนทบุรี,Mueang Nonthaburi District,0
1202,อำเภอบางกรวย,Bang Kruai District,0
1203,อำเภอบางใหญ่,Bang Yai District,0
1204,อำเภอบางบัวทอง,Bang Bua Thong District,0
1205,อำเภอไทรน้อย,Sai Noi District,0
1206,อำเภอปากเกร็ด,Pak Kret District,0
1251,สาขาแขวงท่าทราย อำเภอเมืองนนทบุรี,Tha Sai Branch Mueang Nonthaburi District,25470611
1284,ท้องถิ่นเทศบาลเมืองบางรักพัฒนา,Bang Rak Phatthana Town Municipality,25660418
1285,ท้องถิ่นเทศบาลเมืองบางคูรัด,Bang Khu Rat Town Municipality,25660418
1286,ท้องถิ่นเทศบาลตำบลเสาธงหิน,Sao Thong Hin Sub-district Municipality,0
1287,ท้องถิ่นเทศบาลตำบลบางพลับ,Bang Phlap Sub-district Municipality,0
1288,ท้องถิ่นเทศบาลเมืองพิมลราช,Phimon Rat Town Municipality,0
1289,ท้องถิ่นเทศบาลตำบลศาลากลาง,Sala Klang Sub-district Municipality,0
1290,ท้องถิ่นเทศบาลเมืองไทรม้า,Sai Ma Town Municipality,0
1291,ท้องถิ่นเทศบาลตำบลไทรน้อย,Sai Noi Sub-district Municipality,0
1292,ท้องถิ่นเทศบาลตำบลบางใหญ่,Bang Yai Sub-district Municipality,0
1293,ท้องถิ่นเทศบาลตำบลบางม่วง,Bang Muang Sub-district Municipality,0
1294,ท้องถิ่นเทศบาลตำบลปลายบาง,Plai Bang Sub-district Municipality,0
1295,ท้องถิ่นเทศบาลเมืองบางศรีเมือง,Bang Simueang Town Municipality,0
1296,ท้องถิ่นเทศบาลเมืองบางกรวย,Bang Kruai Town Municipality,0
1297,ท้องถิ่นเทศบาลนครปากเกร็ด,Pak Kret City Municipality,0
1298,ท้องถิ่นเทศบาลเมืองบางบัวทอง,Bang Bua Thong Town Municipality,0
1299,ท้องถิ่นเทศบาลนครนนทบุรี,Nonthaburi City Municipality,0
1300,จังหวัดปทุมธานี,Pathum Thani Province,0
1301,อำเภอเมืองปทุมธานี,Mueang Pathum Thani District,0
1302,อำเภอคลองหลวง,Khlong Luang District,0
1303,อำเภอธัญบุรี,Thanyaburi District,0
1304,อำเภอหนองเสือ,Nong Suea District,0
1305,อำเภอลาดหลุมแก้ว,Lat Lum Kaeo District,0
1306,อำเภอลำลูกกา,Lam Luk Ka District,0
1307,อำเภอสามโคก,Sam Khok District,0
1351,สาขาตำบลคูคต อำเภอลำลูกกา,Khu Khot Branch Lam Luk Ka District,25470611
1379,ท้องถิ่นเทศบาลเมืองลาดสวาย,Lat Sawai Town Municipality,0
1380,ท้องถิ่นเทศบาลตำบลบางพูน,Bang Phun Sub-district Municipality,0
1381,ท้องถิ่นเทศบาลตำบลบ้านกลาง,Bang Klang Sub-district Municipality,0
1382,ท้องถิ่นเทศบาลเมืองลำสามแก้ว,Lam Samkaeo Town Municipality,0
1383,ท้องถิ่นเทศบาลเมืองบางคูวัด,Bang Khu Wat Town Municipality,25660418
1384,ท้องถิ่นเทศบาลเมืองบึงยี่โถ,Bueng Yitho Town Municipality,0
1385,ท้องถิ่นเทศบาลตำบลหลักหก,Lak Hok Sub-district Municipality,25550101
1386,ท้องถิ่นเทศบาลเมืองบางกะดี,Bang Kadi Town Municipality,0
1387,ท้องถิ่นเทศบาลตำบลบางเตย,Bang Toei Sub-district Municipality,0
1388,ท้องถิ่นเทศบาลตำบลลำลูกกา,Lam Luk Ka Sub-district Municipality,0
1389,ท้องถิ่นเทศบาลตำบลลำไทร,Lam Sai Sub-district Municipality,0
1390,ท้องถิ่นเทศบาลตำบลระแหง,Rahaeng Sub-district Municipality,0
1391,ท้องถิ่นเทศบาลตำบลหนองเสือ,Nong Suea Sub-district Municipality,0
1392,ท้องถิ่นเทศบาลเมืองสนั่นรักษ์,Sanan Rak Town Municipality,0
1393,ท้องถิ่นเทศบาลตำบลธัญบุรี,Thanyaburi Sub-district Municipality,0
1394,ท้องถิ่นเทศบาลเมืองคลองหลวง,Khlong Luang  Town Municipality,0
1395,ท้องถิ่นเทศบาลตำบลบางหลวง,Bang Luang Sub-district Municipality,0
1396,ท้องถิ่นเทศบาลเมืองท่าโขลง,Tha Klong Town Municipality,0
1397,ท้องถิ่นเทศบาลเมืองคูคต,Khu Khot Town Municipality,0
1398,ท้องถิ่นเทศบาลนครรังสิต,Rang Sit City Municipality,0
1399,ท้องถิ่นเทศบาลเมืองปทุมธานี,Pathum Thani Town Municipality,0
1400,จังหวัดพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya Province,0
1401,อำเภอพระนครศรีอยุธยา,Phra Nakhon Si Ayutthaya District,0
1402,อำเภอท่าเรือ,Tha Ruea District,0
1403,อำเภอนครหลวง,Nakhon Luang District,0
1404,อำเภอบางไทร,Bang Sai District,0
1405,อำเภอบางบาล,Bang Ban District,0
1406,อำเภอบางปะอิน,Bang Pa-in District,0
1407,อำเภอบางปะหัน,Bang Pahan District,0
1408,อำเภอผักไห่,Phak Hai District,0
1409,อำเภอภาชี,Phachi District,0
1410,อำเภอลาดบัวหลวง,Lat Bua Luang District,0
1411,อำเภอวังน้อย,Wang Noi District,0
1412,อำเภอเสนา,Sena District,0
1413,อำเภอบางซ้าย,Bang Saai District,0
1414,อำเภออุทัย,Uthai District,0
1415,อำเภอมหาราช,Maha Rat District,0
1416,อำเภอบ้านแพรก,Ban Phraek District,0
1465,ท้องถิ่นเทศบาลเมืองบ้านกรด,Bankrod Town Municipality,0
1466,ท้องถิ่นเทศบาลตำบลสามเมือง,Sam Mueang Sub-district Municipality,0
1467,ท้องถิ่นเทศบาลตำบลสามกอ,Sam Ko Sub-district Municipality,0
1468,ท้องถิ่นเทศบาลตำบลบางนมโค,Bang Nom Kho Sub-district Municipality,0
1469,ท้องถิ่นเทศบาลตำบลบางกระสั้น,Bang Kra San Sub-district Municipality,0
1470,ท้องถิ่นเทศบาลตำบลเชียงรากน้อย,Chiang Rak Noi Sub-district Municipality,0
1471,ท้องถิ่นเทศบาลตำบลคลองจิก,Khlong Chik Sub-district Municipality,0
1472,ท้องถิ่นเทศบาลตำบลปราสาททอง,Prasat Thong Sub-district Municipality,0
1473,ท้องถิ่นเทศบาลตำบลบ้านแพรก,Ban Phraek Sub-district Municipality,0
1474,ท้องถิ่นเทศบาลตำบลโรงช้าง,Rong Chang Sub-district Municipality,0
1475,ท้องถิ่นเทศบาลตำบลมหาราช,Maharat Sub-district Municipality,0
1476,ท้องถิ่นเทศบาลตำบลอุทัย,Uthai Sub-district Municipality,0
1477,ท้องถิ่นเทศบาลตำบลบางซ้าย,Bang Sai Sub-district Municipality,0
1478,ท้องถิ่นเทศบาลตำบลหัวเวียง,Hua Wiang Sub-district Municipality,0
1479,ท้องถิ่นเทศบาลเมืองลำตาเสา,Lam Ta Sao Town Municipality,0
1480,ท้องถิ่นเทศบาลตำบลลาดบัวหลวง,Lat Bua Luang Sub-district Municipality,0
1481,ท้องถิ่นเทศบาลตำบลภาชี,Phachi Sub-district Municipality,0
1482,ท้องถิ่นเทศบาลตำบลลาดชะโด,Lat Chado Sub-district Municipality,0
1483,ท้องถิ่นเทศบาลเมืองผักไห่,Phak Hai Town Municipality,0
1484,ท้องถิ่นเทศบาลตำบลพระอินทราชา,Phra In Tha Racha Sub-district Municipality,0
1485,ท้องถิ่นเทศบาลตำบลบ้านสร้าง,Ban Sang Sub-district Municipality,0
