,code,nameTh
0,10000000,กรุงเทพมหานคร
311,11000000,สมุทรปราการ
382,12000000,นนทบุรี
443,13000000,ปทุมธานี
512,14000000,พระนครศรีอยุธยา
739,15000000,อ่างทอง
820,16000000,ลพบุรี
992,17000000,สิงห์บุรี
1042,18000000,ชัยนาท
1111,19000000,สระบุรี
1249,20000000,ชลบุรี
1370,21000000,ระยอง
1456,22000000,จันทบุรี
1569,23000000,ตราด
1624,24000000,ฉะเชิงเทรา
1736,25000000,ปราจีนบุรี
1888,26000000,นครนายก
1934,27000000,สระแก้ว
2014,30000000,นครราชสีมา
2382,31000000,บุรีรัมย์
2650,32000000,สุรินทร์
2858,33000000,ศรีสะเกษ
3143,34000000,อุบลราชธานี
3502,35000000,ยโสธร
3609,36000000,ชัยภูมิ
3778,37000000,อำนาจเจริญ
3856,38000000,บึงกาฬ
3918,39000000,หนองบัวลำภู
3994,40000000,ขอนแก่น
4264,41000000,อุดรธานี
4552,42000000,เลย
4678,43000000,หนองคาย
4838,44000000,มหาสารคาม
5004,45000000,ร้อยเอ็ด
5259,46000000,กาฬสินธุ์
5440,47000000,สกลนคร
5607,48000000,นครพนม
5732,49000000,มุกดาหาร
5807,50000000,เชียงใหม่
6070,51000000,ลำพูน
6140,52000000,ลำปาง
6261,53000000,อุตรดิตถ์
6345,54000000,แพร่
6438,55000000,น่าน
6576,56000000,พะเยา
6662,57000000,เชียงราย
6844,58000000,แม่ฮ่องสอน
6903,60000000,นครสวรรค์
7061,61000000,อุทัยธานี
7146,62000000,กำแพงเพชร
7252,63000000,ตาก
7329,64000000,สุโขทัย
7430,65000000,พิษณุโลก
7539,66000000,พิจิตร
7671,67000000,เพชรบูรณ์
7809,70000000,ราชบุรี
7931,71000000,กาญจนบุรี
8055,72000000,สุพรรณบุรี
8184,73000000,นครปฐม
8304,74000000,สมุทรสาคร
8348,75000000,สมุทรสงคราม
8388,76000000,เพชรบุรี
8503,77000000,ประจวบคีรีขันธ์
8564,80000000,นครศรีธรรมราช
8800,81000000,กระบี่
8882,82000000,พังงา
8942,83000000,ภูเก็ต
8964,84000000,สุราษฎร์ธานี
9126,85000000,ระนอง
9164,86000000,ชุมพร
9243,90000000,สงขลา
9441,91000000,สตูล
9488,92000000,ตรัง
9616,93000000,พัทลุง
9716,94000000,ปัตตานี
9847,95000000,ยะลา
9924,96000000,นราธิวาส
