,geo_id,geo_code,name,abbreviation,type_id
0,1419,state-10000000,กรุงเทพมหานคร,10000000,3
1,1420,state-11000000,สมุทรปราการ,11000000,3
2,1421,state-12000000,นนทบุรี,12000000,3
3,1422,state-13000000,ปทุมธานี,13000000,3
4,1423,state-14000000,พระนครศรีอยุธยา,14000000,3
5,1424,state-15000000,อ่างทอง,15000000,3
6,1425,state-16000000,ลพบุรี,16000000,3
7,1426,state-17000000,สิงห์บุรี,17000000,3
8,1427,state-18000000,ชัยนาท,18000000,3
9,1428,state-19000000,สระบุรี,19000000,3
10,1429,state-20000000,ชลบุรี,20000000,3
11,1430,state-21000000,ระยอง,21000000,3
12,1431,state-22000000,จันทบุรี,22000000,3
13,1432,state-23000000,ตราด,23000000,3
14,1433,state-24000000,ฉะเชิงเทรา,24000000,3
15,1434,state-25000000,ปราจีนบุรี,25000000,3
16,1435,state-26000000,นครนายก,26000000,3
17,1436,state-27000000,สระแก้ว,27000000,3
18,1437,state-30000000,นครราชสีมา,30000000,3
19,1438,state-31000000,บุรีรัมย์,31000000,3
20,1439,state-32000000,สุรินทร์,32000000,3
21,1440,state-33000000,ศรีสะเกษ,33000000,3
22,1441,state-34000000,อุบลราชธานี,34000000,3
23,1442,state-35000000,ยโสธร,35000000,3
24,1443,state-36000000,ชัยภูมิ,36000000,3
25,1444,state-37000000,อำนาจเจริญ,37000000,3
26,1445,state-38000000,บึงกาฬ,38000000,3
27,1446,state-39000000,หนองบัวลำภู,39000000,3
28,1447,state-40000000,ขอนแก่น,40000000,3
29,1448,state-41000000,อุดรธานี,41000000,3
30,1449,state-42000000,เลย,42000000,3
31,1450,state-43000000,หนองคาย,43000000,3
32,1451,state-44000000,มหาสารคาม,44000000,3
33,1452,state-45000000,ร้อยเอ็ด,45000000,3
34,1453,state-46000000,กาฬสินธุ์,46000000,3
35,1454,state-47000000,สกลนคร,47000000,3
36,1455,state-48000000,นครพนม,48000000,3
37,1456,state-49000000,มุกดาหาร,49000000,3
38,1457,state-50000000,เชียงใหม่,50000000,3
39,1458,state-51000000,ลำพูน,51000000,3
40,1459,state-52000000,ลำปาง,52000000,3
41,1460,state-53000000,อุตรดิตถ์,53000000,3
42,1461,state-54000000,แพร่,54000000,3
43,1462,state-55000000,น่าน,55000000,3
44,1463,state-56000000,พะเยา,56000000,3
45,1464,state-57000000,เชียงราย,57000000,3
46,1465,state-58000000,แม่ฮ่องสอน,58000000,3
47,1466,state-60000000,นครสวรรค์,60000000,3
48,1467,state-61000000,อุทัยธานี,61000000,3
49,1468,state-62000000,กำแพงเพชร,62000000,3
50,1469,state-63000000,ตาก,63000000,3
51,1470,state-64000000,สุโขทัย,64000000,3
52,1471,state-65000000,พิษณุโลก,65000000,3
53,1472,state-66000000,พิจิตร,66000000,3
54,1473,state-67000000,เพชรบูรณ์,67000000,3
55,1474,state-70000000,ราชบุรี,70000000,3
56,1475,state-71000000,กาญจนบุรี,71000000,3
57,1476,state-72000000,สุพรรณบุรี,72000000,3
58,1477,state-73000000,นครปฐม,73000000,3
59,1478,state-74000000,สมุทรสาคร,74000000,3
60,1479,state-75000000,สมุทรสงคราม,75000000,3
61,1480,state-76000000,เพชรบุรี,76000000,3
62,1481,state-77000000,ประจวบคีรีขันธ์,77000000,3
63,1482,state-80000000,นครศรีธรรมราช,80000000,3
64,1483,state-81000000,กระบี่,81000000,3
65,1484,state-82000000,พังงา,82000000,3
66,1485,state-83000000,ภูเก็ต,83000000,3
67,1486,state-84000000,สุราษฎร์ธานี,84000000,3
68,1487,state-85000000,ระนอง,85000000,3
69,1488,state-86000000,ชุมพร,86000000,3
70,1489,state-90000000,สงขลา,90000000,3
71,1490,state-91000000,สตูล,91000000,3
72,1491,state-92000000,ตรัง,92000000,3
73,1492,state-93000000,พัทลุง,93000000,3
74,1493,state-94000000,ปัตตานี,94000000,3
75,1494,state-95000000,ยะลา,95000000,3
76,1495,state-96000000,นราธิวาส,96000000,3
